# ls_id        ra_1        dec_1        
  J0300-0012   45.17181    -0.20267     
  J0300-0710   45.187704   -7.16742     
  J0301-0019   45.308702   -0.32094     
  J0301-0830   45.358957   -8.51078     
  J0302-0634   45.506151   -6.56932     
  J0302-0043   45.551584   -0.72749     
  J0302-0700   45.576124   -7.00517     
  J0302+0028   45.626665   0.47763      
  J0302-0039   45.675094   -0.66        
  J0303-0009   45.838519   -0.1606      
  J0303+0104   45.994506   1.0702       
  J0304-0049   46.023191   -0.80772     
  J0304-0821   46.094677   -8.35068     
  J0304-0849   46.132566   -8.82819     
  J0305-0801   46.269674   -8.02042     
  J0305-0626   46.332478   -6.44233     
  J0306+0048   46.60439    0.80989      
  J0306+0052   46.69588    0.88233      
  J0307-0723   46.775158   -7.38139     
  J0307-0820   46.801641   -8.33607     
  J0307-0005   46.84097    -0.08979     
  J0308-0810   47.135125   -8.1809389   
  J0308-0648   47.244      -6.80318     
  J0309-0003   47.314493   -0.06373     
  J0309-0730   47.388001   -7.50247     
  J0309-0701   47.40698    -7.03317     
  J0310-0808   47.555353   -8.14174     
  J0310-0031   47.602036   -0.53132     
  J0311-0807   47.754648   -8.12189     
  J0311-0611   47.848928   -6.18494     
  J0311-0828   47.895247   -8.48156     
  J0311-0634   47.937679   -6.57425     
  J0312-0732   48.101164   -7.53468     
  J0313-0713   48.285117   -7.22827     
  J0313-0042   48.451805   -0.71357     
  J0314-0640   48.518081   -6.67294     
  J0314-0808   48.643247   -8.14894     
  J0314-0101   48.712407   -1.0202      
  J0315-0620   48.921629   -6.34659     
  J0315-0644   48.925065   -6.74767     
  J0315-0048   48.927663   -0.80687     
  J0315+0108   48.943076   1.14095      
  J0315+0028   48.996453   0.46758      
  J0316+0112   49.142136   1.20104      
  J0316-0745   49.163905   -7.75499     
  J0317-0110   49.387544   -1.17109     
  J0319-0110   49.767494   -1.17543     
  J0319-0702   49.820106   -7.04014     
  J0319-0045   49.8901     -0.75075     
  J0320-0635   50.179453   -6.58988     
  J0321-0028   50.252085   -0.48017     
